rating,title,text,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,main_category,text_len,review_time,sentiment,cleaned_text,umap1,umap2,outlier_score
5.0,Exelente para bebes suabe y duradero,"Para mi bebé,  desde que nació!!",B01AAVO97S,AHOMIM3TZFMCG4HZF426GPDIPOMQ,1618601916033,0,True,Beauty_and_Personal_Care,32,2021-04-16 19:38:36.033,positive,para mi beb desde que naci,21.536251,1.2926545,-0.1146183969407526
5.0,Excelente,Excelente cobertura para piel grasa,B0876V8ZFH,AEPYPPAL57SF7QQDCNI3OAJQFGFQ,1619238883499,0,True,Beauty_and_Personal_Care,35,2021-04-24 04:34:43.499,positive,excelente cobertura para piel grasa,21.637789,1.3954226,-0.1144740011540143
5.0,El tamaño y resistencia,Excelente calidad recomendado al 100x100,B0BYZMDN97,AEMLINIAY4TLFTDTGZJZQKXBHAOA,1620459341548,0,True,Electronics,40,2021-05-08 07:35:41.548,positive,excelente calidad recomendado al 100x100,21.764122,1.5238079,-0.11360205264358259
5.0,Seguro para el uso indicado,impresindible para la pesca en aguas frias,B005GSYF9I,AEECCO6SJUWMGZGJNTIF5A76JP6A,1662043026995,0,True,Sports_and_Outdoors,42,2022-09-01 14:37:06.995,positive,impresindible para la pesca en aguas frias,21.515612,1.2720656,-0.1104154666278927
5.0,Excelente calidad,"Excelente calidad, buen diseño",B08JPTRV7G,AFPDENJKAWOIAIFIXELOT3A4TZ7A,1546921259412,0,True,Home_and_Kitchen,30,2019-01-08 04:20:59.412,positive,excelente calidad buen dise o,21.734158,1.493975,-0.10965291669682842
5.0,Buen producto,Ideal para pegar extensiones de cabello,B07F577NLT,AFJGKI37ZJ4UR4HJCCBDSK7PWNSQ,1669164373428,0,True,Beauty_and_Personal_Care,39,2022-11-23 00:46:13.428,positive,ideal para pegar extensiones de cabello,21.555204,1.3075435,-0.10960874987802083
5.0,Excellent!!!,Protección del sol para mi cara.,B08PQ5M1TF,AGQHT46LE7HGYJ5DQKTVEPMTH6WA,1679754156036,0,True,Beauty_and_Personal_Care,32,2023-03-25 14:22:36.036,positive,protecci n del sol para mi cara,21.530499,1.2872847,-0.10914488843789516
5.0,Hermoso gracias me encanto,[[VIDEOID:b16358319d49d1d528aba095d74bc0f6]] Esta perfecto gracias,B083BF3BJT,AESMS2PMSD7AW4JJUUDBXF5QQD5Q,1636745713356,1,True,Home_and_Kitchen,66,2021-11-12 19:35:13.356,positive,videoid b16358319d49d1d528aba095d74bc0f6 esta perfecto gracias,21.577766,1.3351163,-0.10903095587034972
5.0,Buen producto,Excelente calidad buena resolución de imagen,B07X1NTT1Q,AF5ITM7HJABVCCXLZSLCG2VMCQQA,1617018637478,0,True,Electronics,44,2021-03-29 11:50:37.478,positive,excelente calidad buena resoluci n de imagen,21.767227,1.526452,-0.10873404957571453
5.0,Hermoso buen material.,Le encanto a mi amiga. Fue regalo de cumpleaños.,B081R8SY7G,AFL3QNOZNGIX37JETI5W4T7TQ2CQ,1594819637302,0,True,Electronics,48,2020-07-15 13:27:17.302,positive,le encanto a mi amiga fue regalo de cumplea os,21.5522,1.313959,-0.1076935454469069
5.0,Original,Me encanto un perfume de excelente calidad.,B0BRN72FZ3,AFYV22WCMRI7MKYPD4BNT2URZ3EA,1693452899527,0,True,Beauty_and_Personal_Care,43,2023-08-31 03:34:59.527,positive,me encanto un perfume de excelente calidad,21.75578,1.5148683,-0.10725331315914588
5.0,Que es de buena calidad,Todo bien excelente me gusto,B07QKVLC9F,AFX3QPEQ4FH3TJSPEF2XVPYMZTYQ,1657839953564,0,True,Home_and_Kitchen,28,2022-07-14 23:05:53.564,positive,todo bien excelente me gusto,21.620277,1.3784847,-0.10695016087251097
5.0,Buena calidad,"Muy buena calidad, tal cual la gogó",B0B2QNQWZ5,AECFKYMM2L4XP4ZHNC363QDQNN5A,1671848194043,0,True,Home_and_Kitchen,35,2022-12-24 02:16:34.043,positive,muy buena calidad tal cual la gog,21.745302,1.5044208,-0.10683826008313835
3.0,El artículo llegó el tiempo indicado,Este artículo está perfecto,B0B46HCVGJ,AGRPSWFJQ6OHTWGVV3Y7FGIQZOUA,1601869556177,0,True,Sports_and_Outdoors,27,2020-10-05 03:45:56.177,neutral,este art culo est perfecto,21.532515,1.2899708,-0.10631806668565791
3.0,Muy pequeño,Pensé q era exacto para stand,B0936SP2YZ,AF3TUIWGWOSXKJO75HESGNDKIBCQ,1644343560273,0,True,Electronics,29,2022-02-08 18:06:00.273,neutral,pens q era exacto para stand,21.401735,1.1605688,-0.10579349835236118
5.0,Recomendado al 100%,Excelente parlante con sonido de alta fidelidad.,B091BH1TF7,AG532PYNDLXD5ODFYZGAEQHK3WXA,1625096229800,0,True,Electronics,48,2021-06-30 23:37:09.800,positive,excelente parlante con sonido de alta fidelidad,21.670404,1.4294002,-0.1057058125814272
5.0,Excelente 👌,Buen adaptador funciona perfecto con la montura pl. Buen material de construcción y ensambla perfecto con la óptica pl,B07V9YXCD8,AE7FMGKQGFDT4D5AOUOBDSTRG57A,1618859588800,0,True,Electronics,118,2021-04-19 19:13:08.800,positive,buen adaptador funciona perfecto con la montura pl buen material de construcci n y ensambla perfecto con la ptica pl,21.635534,1.394145,-0.10569742987774167
3.0,Son suaves,Demasiado suaves para mi gusto,B092ZPH8VR,AF72REX6I7HN62FARABDCME34C6Q,1648930407785,0,True,Beauty_and_Personal_Care,30,2022-04-02 20:13:27.785,neutral,demasiado suaves para mi gusto,21.550964,1.3092583,-0.10561517171644375
5.0,Buen articulo,Cable de bCkup para mi celular.,B01ILWWWZ4,AFVYQSMAVUYPIMJZTT4UT4MOPLLA,1558134157020,0,True,Electronics,31,2019-05-17 23:02:37.020,positive,cable de bckup para mi celular,21.570023,1.327392,-0.10502995850621677
4.0,Realmente mágico!,Muy bueno! Deja mi cabello sedoso,B0C1GMBKSG,AH3KMHGDBUOEUJPHNO652A34PVNQ,1547002212016,0,True,Beauty_and_Personal_Care,33,2019-01-09 02:50:12.016,positive,muy bueno deja mi cabello sedoso,21.58132,1.3395698,-0.10493735577887031
